sku,name,barcode,category,subcategory,brand,tags,variant,unit,warehouse,qtyOnHand,qtyReserved,reorderPoint,reorderQty,binLocation,unitCost,listPrice,salePrice,priceTier,supplierId,supplierName,supplierSku,leadTimeDays,minOrderQty
SKU-OK-111,Protective Helmet I111,100000000011,Packaging,Labels,LabelWorks,"packaging,labels",Large,pcs,WH-NORTH-01,457,17,40,573,A-14-18,21.53,41.98,41.98,Premium,SUP-918,Prime Distribution,SUP-SKU-918-011,10,38
SKU-OK-112,Cable Ties J112,100000000012,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,box,WH-SOUTH-02,494,24,51,115,B-17-05,23.26,48.85,44.94,Standard,SUP-919,Metro Supply,SUP-SKU-919-012,12,41
SKU-OK-113,Digital Caliper K113,100000000013,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pack,WH-EAST-03,80,1,62,158,C-20-12,24.99,56.23,56.23,Wholesale,SUP-920,Apex Supplies,SUP-SKU-920-013,14,44
SKU-OK-114,Industrial Switch L114,100000000014,Electronics,Cables,VoltEdge,"electronics,cables",Small,set,WH-WEST-04,117,8,73,201,D-03-19,26.72,64.13,64.13,Premium,SUP-921,SafeCorp,SUP-SKU-921-014,16,47
SKU-OK-115,Safety Mask M115,100000000015,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pcs,WH-NORTH-01,154,15,84,244,E-06-06,28.45,51.21,51.21,Standard,SUP-922,Global Industrial,SUP-SKU-922-015,3,50
SKU-OK-116,Storage Bin N116,100000000016,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,box,WH-SOUTH-02,191,22,95,287,F-09-13,30.18,58.85,54.14,Wholesale,SUP-923,Prime Distribution,SUP-SKU-923-016,5,7
SKU-OK-117,Marker Pen O117,100000000017,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pack,WH-EAST-03,228,29,106,330,G-12-20,31.91,67.01,67.01,Premium,SUP-924,Metro Supply,SUP-SKU-924-017,7,10
SKU-OK-118,Industrial Sensor P118,100000000018,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,set,WH-WEST-04,265,6,117,373,H-15-07,33.64,75.69,75.69,Standard,SUP-910,Apex Supplies,SUP-SKU-910-018,9,13
SKU-OK-119,Safety Gloves Q119,100000000019,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pcs,WH-NORTH-01,302,13,27,416,A-18-14,35.37,84.89,84.89,Wholesale,SUP-911,SafeCorp,SUP-SKU-911-019,11,16
SKU-OK-120,USB Cable R120,100000000020,Packaging,Boxes,PackRight,"packaging,boxes",Medium,box,WH-SOUTH-02,339,20,38,459,B-01-01,37.1,66.78,61.44,Premium,SUP-912,Global Industrial,SUP-SKU-912-020,13,19
SKU-OK-121,Steel Bearing S121,100000000021,Packaging,Labels,LabelWorks,"packaging,labels",Large,pack,WH-EAST-03,376,27,49,502,C-04-08,38.83,75.72,75.72,Standard,SUP-913,Prime Distribution,SUP-SKU-913-021,15,22
SKU-OK-122,Packing Box T122,100000000022,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,set,WH-WEST-04,413,4,60,545,D-07-15,40.56,85.18,85.18,Wholesale,SUP-914,Metro Supply,SUP-SKU-914-022,17,25
SKU-OK-123,Barcode Labels U123,100000000023,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pcs,WH-NORTH-01,450,11,71,588,E-10-02,42.29,95.15,95.15,Premium,SUP-915,Apex Supplies,SUP-SKU-915-023,4,28
SKU-OK-124,Adjustable Wrench V124,100000000024,Electronics,Cables,VoltEdge,"electronics,cables",Small,box,WH-SOUTH-02,487,18,82,130,F-13-09,44.02,105.65,97.2,Standard,SUP-916,SafeCorp,SUP-SKU-916-024,6,31
SKU-OK-125,Power Drill W125,100000000025,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pack,WH-EAST-03,73,25,93,173,G-16-16,45.75,82.35,82.35,Wholesale,SUP-917,Global Industrial,SUP-SKU-917-025,8,34
SKU-OK-126,Protective Helmet X126,100000000026,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,set,WH-WEST-04,110,2,104,216,H-19-03,47.48,92.59,92.59,Premium,SUP-918,Prime Distribution,SUP-SKU-918-026,10,37
SKU-OK-127,Cable Ties Y127,100000000027,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pcs,WH-NORTH-01,147,9,115,259,A-02-10,49.21,103.34,103.34,Standard,SUP-919,Metro Supply,SUP-SKU-919-027,12,40
SKU-OK-128,Digital Caliper Z128,100000000028,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,box,WH-SOUTH-02,184,16,25,302,B-05-17,3.94,8.87,8.16,Wholesale,SUP-920,Apex Supplies,SUP-SKU-920-028,14,43
SKU-OK-129,Industrial Switch A129,100000000029,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pack,WH-EAST-03,221,23,36,345,C-08-04,5.67,13.61,13.61,Premium,SUP-921,SafeCorp,SUP-SKU-921-029,16,46
SKU-OK-130,Safety Mask B130,100000000030,Packaging,Boxes,PackRight,"packaging,boxes",Medium,set,WH-WEST-04,258,0,47,388,D-11-11,7.4,13.32,13.32,Standard,SUP-922,Global Industrial,SUP-SKU-922-030,3,49
SKU-OK-131,Storage Bin C131,100000000031,Packaging,Labels,LabelWorks,"packaging,labels",Large,pcs,WH-NORTH-01,295,7,58,431,E-14-18,9.13,17.8,17.8,Wholesale,SUP-923,Prime Distribution,SUP-SKU-923-031,5,6
SKU-OK-132,Marker Pen D132,100000000032,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,box,WH-SOUTH-02,332,14,69,474,F-17-05,10.86,22.81,20.99,Premium,SUP-924,Metro Supply,SUP-SKU-924-032,7,9
SKU-OK-133,Industrial Sensor E133,100000000033,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pack,WH-EAST-03,369,21,80,517,G-20-12,12.59,28.33,28.33,Standard,SUP-910,Apex Supplies,SUP-SKU-910-033,9,12
SKU-OK-134,Safety Gloves F134,100000000034,Electronics,Cables,VoltEdge,"electronics,cables",Small,set,WH-WEST-04,406,28,91,560,H-03-19,14.32,34.37,34.37,Wholesale,SUP-911,SafeCorp,SUP-SKU-911-034,11,15
SKU-OK-135,USB Cable G135,100000000035,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pcs,WH-NORTH-01,443,5,102,102,A-06-06,16.05,28.89,28.89,Premium,SUP-912,Global Industrial,SUP-SKU-912-035,13,18
SKU-OK-136,Steel Bearing H136,100000000036,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,box,WH-SOUTH-02,480,12,113,145,B-09-13,17.78,34.67,31.9,Standard,SUP-913,Prime Distribution,SUP-SKU-913-036,15,21
SKU-OK-137,Packing Box I137,100000000037,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pack,WH-EAST-03,66,19,23,188,C-12-20,19.51,40.97,40.97,Wholesale,SUP-914,Metro Supply,SUP-SKU-914-037,17,24
SKU-OK-138,Barcode Labels J138,100000000038,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,set,WH-WEST-04,103,26,34,231,D-15-07,21.24,47.79,47.79,Premium,SUP-915,Apex Supplies,SUP-SKU-915-038,4,27
SKU-OK-139,Adjustable Wrench K139,100000000039,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pcs,WH-NORTH-01,140,3,45,274,E-18-14,22.97,55.13,55.13,Standard,SUP-916,SafeCorp,SUP-SKU-916-039,6,30
SKU-OK-140,Power Drill L140,100000000040,Packaging,Boxes,PackRight,"packaging,boxes",Medium,box,WH-SOUTH-02,177,10,56,317,F-01-01,24.7,44.46,40.9,Wholesale,SUP-917,Global Industrial,SUP-SKU-917-040,8,33
SKU-OK-141,Protective Helmet M141,100000000041,Packaging,Labels,LabelWorks,"packaging,labels",Large,pack,WH-EAST-03,214,17,67,360,G-04-08,26.43,51.54,51.54,Premium,SUP-918,Prime Distribution,SUP-SKU-918-041,10,36
SKU-OK-142,Cable Ties N142,100000000042,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,set,WH-WEST-04,251,24,78,403,H-07-15,28.16,59.14,59.14,Standard,SUP-919,Metro Supply,SUP-SKU-919-042,12,39
SKU-OK-143,Digital Caliper O143,100000000043,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pcs,WH-NORTH-01,288,1,89,446,A-10-02,29.89,67.25,67.25,Wholesale,SUP-920,Apex Supplies,SUP-SKU-920-043,14,42
SKU-OK-144,Industrial Switch P144,100000000044,Electronics,Cables,VoltEdge,"electronics,cables",Small,box,WH-SOUTH-02,325,8,100,489,B-13-09,31.62,75.89,69.82,Premium,SUP-921,SafeCorp,SUP-SKU-921-044,16,45
SKU-OK-145,Safety Mask Q145,100000000045,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pack,WH-EAST-03,362,15,111,532,C-16-16,33.35,60.03,60.03,Standard,SUP-922,Global Industrial,SUP-SKU-922-045,3,48
SKU-OK-146,Storage Bin R146,100000000046,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,set,WH-WEST-04,399,22,21,575,D-19-03,35.08,68.41,68.41,Wholesale,SUP-923,Prime Distribution,SUP-SKU-923-046,5,5
SKU-OK-147,Marker Pen S147,100000000047,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pcs,WH-NORTH-01,436,29,32,117,E-02-10,36.81,77.3,77.3,Premium,SUP-924,Metro Supply,SUP-SKU-924-047,7,8
SKU-OK-148,Industrial Sensor T148,100000000048,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,box,WH-SOUTH-02,473,6,43,160,F-05-17,38.54,86.72,79.78,Standard,SUP-910,Apex Supplies,SUP-SKU-910-048,9,11
SKU-OK-149,Safety Gloves U149,100000000049,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pack,WH-EAST-03,59,13,54,203,G-08-04,40.27,96.65,96.65,Wholesale,SUP-911,SafeCorp,SUP-SKU-911-049,11,14
SKU-OK-150,USB Cable V150,100000000050,Packaging,Boxes,PackRight,"packaging,boxes",Medium,set,WH-WEST-04,96,20,65,246,H-11-11,42.0,75.6,75.6,Premium,SUP-912,Global Industrial,SUP-SKU-912-050,13,17
SKU-OK-151,Steel Bearing W151,100000000051,Packaging,Labels,LabelWorks,"packaging,labels",Large,pcs,WH-NORTH-01,133,27,76,289,A-14-18,43.73,85.27,85.27,Standard,SUP-913,Prime Distribution,SUP-SKU-913-051,15,20
SKU-OK-152,Packing Box X152,100000000052,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,box,WH-SOUTH-02,170,4,87,332,B-17-05,45.46,95.47,87.83,Wholesale,SUP-914,Metro Supply,SUP-SKU-914-052,17,23
SKU-OK-153,Barcode Labels Y153,100000000053,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pack,WH-EAST-03,207,11,98,375,C-20-12,47.19,106.18,106.18,Premium,SUP-915,Apex Supplies,SUP-SKU-915-053,4,26
SKU-OK-154,Adjustable Wrench Z154,100000000054,Electronics,Cables,VoltEdge,"electronics,cables",Small,set,WH-WEST-04,244,18,109,418,D-03-19,48.92,117.41,117.41,Standard,SUP-916,SafeCorp,SUP-SKU-916-054,6,29
SKU-OK-155,Power Drill A155,100000000055,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pcs,WH-NORTH-01,281,25,120,461,E-06-06,3.65,6.57,6.57,Wholesale,SUP-917,Global Industrial,SUP-SKU-917-055,8,32
SKU-OK-156,Protective Helmet B156,100000000056,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,box,WH-SOUTH-02,318,2,30,504,F-09-13,5.38,10.49,9.65,Premium,SUP-918,Prime Distribution,SUP-SKU-918-056,10,35
SKU-OK-157,Cable Ties C157,100000000057,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pack,WH-EAST-03,355,9,41,547,G-12-20,7.11,14.93,14.93,Standard,SUP-919,Metro Supply,SUP-SKU-919-057,12,38
SKU-OK-158,Digital Caliper D158,100000000058,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,set,WH-WEST-04,392,16,52,590,H-15-07,8.84,19.89,19.89,Wholesale,SUP-920,Apex Supplies,SUP-SKU-920-058,14,41
SKU-OK-159,Industrial Switch E159,100000000059,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pcs,WH-NORTH-01,429,23,63,132,A-18-14,10.57,25.37,25.37,Premium,SUP-921,SafeCorp,SUP-SKU-921-059,16,44
SKU-OK-160,Safety Mask F160,100000000060,Packaging,Boxes,PackRight,"packaging,boxes",Medium,box,WH-SOUTH-02,466,0,74,175,B-01-01,12.3,22.14,20.37,Standard,SUP-922,Global Industrial,SUP-SKU-922-060,3,47
SKU-OK-161,Storage Bin G161,100000000061,Packaging,Labels,LabelWorks,"packaging,labels",Large,pack,WH-EAST-03,52,7,85,218,C-04-08,14.03,27.36,27.36,Wholesale,SUP-923,Prime Distribution,SUP-SKU-923-061,5,50
SKU-OK-162,Marker Pen H162,100000000062,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,set,WH-WEST-04,89,14,96,261,D-07-15,15.76,33.1,33.1,Premium,SUP-924,Metro Supply,SUP-SKU-924-062,7,7
SKU-OK-163,Industrial Sensor I163,100000000063,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pcs,WH-NORTH-01,126,21,107,304,E-10-02,17.49,39.35,39.35,Standard,SUP-910,Apex Supplies,SUP-SKU-910-063,9,10
SKU-OK-164,Safety Gloves J164,100000000064,Electronics,Cables,VoltEdge,"electronics,cables",Small,box,WH-SOUTH-02,163,28,118,347,F-13-09,19.22,46.13,42.44,Wholesale,SUP-911,SafeCorp,SUP-SKU-911-064,11,13
SKU-OK-165,USB Cable K165,100000000065,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pack,WH-EAST-03,200,5,28,390,G-16-16,20.95,37.71,37.71,Premium,SUP-912,Global Industrial,SUP-SKU-912-065,13,16
SKU-OK-166,Steel Bearing L166,100000000066,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,set,WH-WEST-04,237,12,39,433,H-19-03,22.68,44.23,44.23,Standard,SUP-913,Prime Distribution,SUP-SKU-913-066,15,19
SKU-OK-167,Packing Box M167,100000000067,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pcs,WH-NORTH-01,274,19,50,476,A-02-10,24.41,51.26,51.26,Wholesale,SUP-914,Metro Supply,SUP-SKU-914-067,17,22
SKU-OK-168,Barcode Labels N168,100000000068,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,box,WH-SOUTH-02,311,26,61,519,B-05-17,26.14,58.81,54.11,Premium,SUP-915,Apex Supplies,SUP-SKU-915-068,4,25
SKU-OK-169,Adjustable Wrench O169,100000000069,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pack,WH-EAST-03,348,3,72,562,C-08-04,27.87,66.89,66.89,Standard,SUP-916,SafeCorp,SUP-SKU-916-069,6,28
SKU-OK-170,Power Drill P170,100000000070,Packaging,Boxes,PackRight,"packaging,boxes",Medium,set,WH-WEST-04,385,10,83,104,D-11-11,29.6,53.28,53.28,Wholesale,SUP-917,Global Industrial,SUP-SKU-917-070,8,31
SKU-OK-171,Protective Helmet Q171,100000000071,Packaging,Labels,LabelWorks,"packaging,labels",Large,pcs,WH-NORTH-01,422,17,94,147,E-14-18,31.33,61.09,61.09,Premium,SUP-918,Prime Distribution,SUP-SKU-918-071,10,34
SKU-OK-172,Cable Ties R172,100000000072,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,box,WH-SOUTH-02,459,24,105,190,F-17-05,33.06,69.43,63.88,Standard,SUP-919,Metro Supply,SUP-SKU-919-072,12,37
SKU-OK-173,Digital Caliper S173,100000000073,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pack,WH-EAST-03,496,1,116,233,G-20-12,34.79,78.28,78.28,Wholesale,SUP-920,Apex Supplies,SUP-SKU-920-073,14,40
SKU-OK-174,Industrial Switch T174,100000000074,Electronics,Cables,VoltEdge,"electronics,cables",Small,set,WH-WEST-04,82,8,26,276,H-03-19,36.52,87.65,87.65,Premium,SUP-921,SafeCorp,SUP-SKU-921-074,16,43
SKU-OK-175,Safety Mask U175,100000000075,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pcs,WH-NORTH-01,119,15,37,319,A-06-06,38.25,68.85,68.85,Standard,SUP-922,Global Industrial,SUP-SKU-922-075,3,46
SKU-OK-176,Storage Bin V176,100000000076,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,box,WH-SOUTH-02,156,22,48,362,B-09-13,39.98,77.96,71.72,Wholesale,SUP-923,Prime Distribution,SUP-SKU-923-076,5,49
SKU-OK-177,Marker Pen W177,100000000077,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pack,WH-EAST-03,193,29,59,405,C-12-20,41.71,87.59,87.59,Premium,SUP-924,Metro Supply,SUP-SKU-924-077,7,6
SKU-OK-178,Industrial Sensor X178,100000000078,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,set,WH-WEST-04,230,6,70,448,D-15-07,43.44,97.74,97.74,Standard,SUP-910,Apex Supplies,SUP-SKU-910-078,9,9
SKU-OK-179,Safety Gloves Y179,100000000079,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pcs,WH-NORTH-01,267,13,81,491,E-18-14,45.17,108.41,108.41,Wholesale,SUP-911,SafeCorp,SUP-SKU-911-079,11,12
SKU-OK-180,USB Cable Z180,100000000080,Packaging,Boxes,PackRight,"packaging,boxes",Medium,box,WH-SOUTH-02,304,20,92,534,F-01-01,46.9,84.42,77.67,Premium,SUP-912,Global Industrial,SUP-SKU-912-080,13,15
SKU-OK-181,Steel Bearing A181,100000000081,Packaging,Labels,LabelWorks,"packaging,labels",Large,pack,WH-EAST-03,341,27,103,577,G-04-08,48.63,94.83,94.83,Standard,SUP-913,Prime Distribution,SUP-SKU-913-081,15,18
SKU-OK-182,Packing Box B182,100000000082,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,set,WH-WEST-04,378,4,114,119,H-07-15,3.36,7.06,7.06,Wholesale,SUP-914,Metro Supply,SUP-SKU-914-082,17,21
SKU-OK-183,Barcode Labels C183,100000000083,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pcs,WH-NORTH-01,415,11,24,162,A-10-02,5.09,11.45,11.45,Premium,SUP-915,Apex Supplies,SUP-SKU-915-083,4,24
SKU-OK-184,Adjustable Wrench D184,100000000084,Electronics,Cables,VoltEdge,"electronics,cables",Small,box,WH-SOUTH-02,452,18,35,205,B-13-09,6.82,16.37,15.06,Standard,SUP-916,SafeCorp,SUP-SKU-916-084,6,27
SKU-OK-185,Power Drill E185,100000000085,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pack,WH-EAST-03,489,25,46,248,C-16-16,8.55,15.39,15.39,Wholesale,SUP-917,Global Industrial,SUP-SKU-917-085,8,30
SKU-OK-186,Protective Helmet F186,100000000086,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,set,WH-WEST-04,75,2,57,291,D-19-03,10.28,20.05,20.05,Premium,SUP-918,Prime Distribution,SUP-SKU-918-086,10,33
SKU-OK-187,Cable Ties G187,100000000087,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pcs,WH-NORTH-01,112,9,68,334,E-02-10,12.01,25.22,25.22,Standard,SUP-919,Metro Supply,SUP-SKU-919-087,12,36
SKU-OK-188,Digital Caliper H188,100000000088,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,box,WH-SOUTH-02,149,16,79,377,F-05-17,13.74,30.91,28.44,Wholesale,SUP-920,Apex Supplies,SUP-SKU-920-088,14,39
SKU-OK-189,Industrial Switch I189,100000000089,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pack,WH-EAST-03,186,23,90,420,G-08-04,15.47,37.13,37.13,Premium,SUP-921,SafeCorp,SUP-SKU-921-089,16,42
SKU-OK-190,Safety Mask J190,100000000090,Packaging,Boxes,PackRight,"packaging,boxes",Medium,set,WH-WEST-04,223,0,101,463,H-11-11,17.2,30.96,30.96,Standard,SUP-922,Global Industrial,SUP-SKU-922-090,3,45
SKU-OK-191,Storage Bin K191,100000000091,Packaging,Labels,LabelWorks,"packaging,labels",Large,pcs,WH-NORTH-01,260,7,112,506,A-14-18,18.93,36.91,36.91,Wholesale,SUP-923,Prime Distribution,SUP-SKU-923-091,5,48
SKU-OK-192,Marker Pen L192,100000000092,Office Supplies,Stationery,OfficePro,"office-supplies,stationery",Premium,box,WH-SOUTH-02,297,14,22,549,B-17-05,20.66,43.39,39.92,Premium,SUP-924,Metro Supply,SUP-SKU-924-092,7,5
SKU-OK-193,Industrial Sensor M193,100000000093,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pack,WH-EAST-03,334,21,33,592,C-20-12,22.39,50.38,50.38,Standard,SUP-910,Apex Supplies,SUP-SKU-910-093,9,8
SKU-OK-194,Safety Gloves N194,100000000094,Electronics,Cables,VoltEdge,"electronics,cables",Small,set,WH-WEST-04,371,28,44,134,D-03-19,24.12,57.89,57.89,Wholesale,SUP-911,SafeCorp,SUP-SKU-911-094,11,11
SKU-OK-195,USB Cable O195,100000000095,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pcs,WH-NORTH-01,408,5,55,177,E-06-06,25.85,46.53,46.53,Premium,SUP-912,Global Industrial,SUP-SKU-912-095,13,14
SKU-OK-196,Steel Bearing P196,100000000096,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,box,WH-SOUTH-02,445,12,66,220,F-09-13,27.58,53.78,49.48,Standard,SUP-913,Prime Distribution,SUP-SKU-913-096,15,17
SKU-OK-197,Packing Box Q197,100000000097,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pack,WH-EAST-03,482,19,77,263,G-12-20,29.31,61.55,61.55,Wholesale,SUP-914,Metro Supply,SUP-SKU-914-097,17,20
SKU-OK-198,Barcode Labels R198,100000000098,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,set,WH-WEST-04,68,26,88,306,H-15-07,31.04,69.84,69.84,Premium,SUP-915,Apex Supplies,SUP-SKU-915-098,4,23
SKU-OK-199,Adjustable Wrench S199,100000000099,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pcs,WH-NORTH-01,105,3,99,349,A-18-14,32.77,78.65,78.65,Standard,SUP-916,SafeCorp,SUP-SKU-916-099,6,26
SKU-OK-200,Power Drill T200,100000000100,Packaging,Boxes,PackRight,"packaging,boxes",Medium,box,WH-SOUTH-02,142,10,110,392,B-01-01,34.5,62.1,57.13,Wholesale,SUP-917,Global Industrial,SUP-SKU-917-100,8,29
